from,status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10155088875376509,"102-year-old honorable delegate Geraldine ""Jerry"" Johnson Emmett casts Arizona's votes for Hillary Clinton. http://cnn.it/2a37Br5 #DemsInPhilly",102-year-old woman casts votes for Hillary Clinton,video,https://www.facebook.com/cnn/videos/10155088875376509/,2016-07-26 16:33:59,1837,281,305,1406,325,11,13,4,78
5550296508_10155088786911509,We're at the DNC in Philadelphia as delegates kick off their roll call vote to nominate Hillary Clinton.,We're at the DNC as delegates conduct their roll call vote.,video,https://www.facebook.com/cnn/videos/10155088786911509/,2016-07-26 16:24:38,7156,5283,729,4844,1167,71,107,101,867
5550296508_10155088833006509,"Rep. John Lewis: ""We've made too much progress and we're not going back, we're going forward."" http://cnn.it/2ajw2ot #DemsInPhilly",John Lewis: 'we're going forward',video,https://www.facebook.com/cnn/videos/10155088833006509/,2016-07-26 16:24:35,669,177,72,557,76,3,21,2,10
5550296508_10155088798976509,Bernie Sanders stands to thank supporters as he is nominated for president of the United States at the DNC. http://cnn.it/2ajv6Ac,Bernie thanks supporters at DNC,video,https://www.facebook.com/cnn/videos/10155088798976509/,2016-07-26 16:14:22,4550,752,1054,3496,849,28,100,34,44
5550296508_10155088671056509,"Former President Bill Clinton is slated to speak Tuesday night at the #DemConvention, but it won't be his first time. Here are highlights from his previous appearances going back to 1984 http://cnn.it/2afeMzw #DemsInPhilly",Bill Clinton's DNC speeches through the years,video,https://www.facebook.com/cnn/videos/10155088671056509/,2016-07-26 15:34:56,1586,474,197,1338,143,3,66,2,34
5550296508_10155088552081509,"A group of approximately 20 people were arrested for unlawful assembly outside Minnesota Governor Mark Dayton's mansion in St. Paul on Tuesday, according to St. Paul Police Sgt. Mike Ernster, after they marched to protest of the death of #PhilandoCastile. This video, from Instagram user miles_armleg, shows police telling protesters to ""move."" http://cnn.it/2af9AMf",Minnesota protesters told to 'move' by St. Paul police,video,https://www.facebook.com/cnn/videos/10155088552081509/,2016-07-26 15:34:00,671,211,190,502,13,16,22,36,82
5550296508_10155088621806509,Wikileaks founder Julian Assange hinted he may have more to come.,Assange: 'A lot more material' coming,link,http://cnn.it/2a2PBNj,2016-07-26 15:21:47,5099,1197,1036,4119,448,94,321,13,104
5550296508_10155088559596509,"We're with Anastasia Somoza, a disabilities advocate who stole Monday night's show at the Democratic National Convention. She is a fierce supporter of Hillary Clinton and adamantly opposed to a Donald J. Trump Presidency. She's here with Kate Bolduan, ask your questions:",Live with Anastasia Somoza,video,https://www.facebook.com/cnn/videos/10155088559596509/,2016-07-26 15:05:22,5220,2707,509,4056,889,31,45,21,178
5550296508_10155088503611509,Happy Tuesday! Watch this hawk admire CNN affiliate 1011 News's sky-high weather camera. (Your speakers are fine — there's no audio.),Hawk admires TV station's weather camera,video,https://www.facebook.com/cnn/videos/10155088503611509/,2016-07-26 14:54:10,22646,1121,7362,17663,2225,131,2624,3,2
5550296508_10155088103436509,"Perl Wolfe and her bandmates in PERL belong to a Hasidic community where men can't watch them perform -- so, as they explained to Great Big Story, they've used their music to create an empowering space for women to express themselves.",Great Big Story,video,https://www.facebook.com/greatbigstory/videos/1571079289861165/,2016-07-26 14:39:01,161,59,0,145,12,4,0,0,0
5550296508_10155088431926509,The Democrats are ahead of the Republicans in the convention ratings race,"Democrats draw 26 million viewers on night one, beating Republicans",link,http://cnn.it/2a2H0ul,2016-07-26 14:16:02,17800,2783,1598,15125,1989,99,471,17,101
5550296508_10155088097636509,"Our friends Great Big Story take us through the older neighborhoods of Jodhpur, India, where many of the houses and buildings are painted a striking blue. There are various theories as to why the city's past denizens made this decision -- what's certain is that this city is truly one of a kind.",Great Big Story,video,https://www.facebook.com/greatbigstory/videos/1571081643194263/,2016-07-26 13:37:00,196,55,0,180,11,5,0,0,0
